Date,Temperature,Rainfall,Humidity,City
2023-01-01,34.7,16.5,67.6,Kumasi
2023-01-11,28.0,1.1,72.1,Kumasi
2023-01-21,33.9,14.4,82.4,Kumasi
2023-01-31,24.5,16.0,81.7,Kumasi
2023-02-10,25.3,14.7,72.2,Kumasi
2023-02-20,31.1,14.2,89.7,Kumasi
2023-03-02,30.4,10.8,73.5,Kumasi
2023-03-12,29.0,2.5,71.2,Kumasi
2023-03-22,28.0,19.2,81.3,Kumasi
2023-04-01,31.5,8.1,62.5,Kumasi
2023-04-11,29.3,4.3,72.0,Kumasi
2023-04-21,32.8,14.3,83.1,Kumasi
2023-05-01,30.2,19.9,82.9,Kumasi
2023-05-11,30.9,5.1,68.5,Kumasi
2023-05-21,31.7,13.4,65.7,Kumasi
2023-05-31,35.9,12.0,74.1,Kumasi
2023-06-10,33.8,14.3,70.0,Kumasi
2023-06-20,29.0,18.7,82.0,Kumasi
2023-06-30,34.5,7.0,65.7,Kumasi
