Date,Rainfall,Temperature,Humidity,WeatherType,Month
2024-01-01,23.8,33.4,85.2,Heavy Rainfall,January
2024-01-02,7.4,28.1,74.2,Light Rain,January
2024-01-03,0.0,25.7,76.3,Dry,January
2024-01-04,0.0,30.8,78.3,Dry,January
2024-01-05,25.9,30.6,89.1,Heavy Rainfall,January
2024-01-06,0.0,32.8,72.4,Dry,January
2024-01-07,25.7,34.7,83.8,Heavy Rainfall,January
2024-01-08,1.2,28.5,75.4,Light Rain,January
2024-01-09,27.5,27.5,64.3,Heavy Rainfall,January
2024-01-10,1.1,25.2,61.6,Light Rain,January
2024-01-11,18.5,33.8,82.3,Heavy Rainfall,January
2024-01-12,30.0,25.3,89.4,Heavy Rainfall,January
2024-01-13,0.0,25.2,79.3,Dry,January
2024-01-14,11.2,34.7,79.0,Heavy Rainfall,January
2024-01-15,14.2,34.0,82.5,Heavy Rainfall,January
2024-01-16,5.6,33.5,61.2,Light Rain,January
2024-01-17,21.2,27.1,70.8,Heavy Rainfall,January
2024-01-18,11.3,29.0,61.6,Heavy Rainfall,January
2024-01-19,0.0,31.7,77.5,Dry,January
2024-01-20,24.0,25.4,87.4,Heavy Rainfall,January
2024-01-21,13.1,34.3,82.9,Heavy Rainfall,January
2024-01-22,17.3,32.1,63.7,Heavy Rainfall,January
2024-01-23,20.1,28.7,79.7,Heavy Rainfall,January
2024-01-24,0.0,27.2,79.5,Dry,January
2024-01-25,0.0,26.9,65.5,Dry,January
2024-01-26,18.8,30.7,82.5,Heavy Rainfall,January
2024-01-27,0.0,24.7,66.6,Dry,January
2024-01-28,27.0,27.4,61.6,Heavy Rainfall,January
2024-01-29,10.3,28.7,61.4,Heavy Rainfall,January
2024-01-30,0.0,28.1,74.6,Dry,January
2024-01-31,12.8,32.3,87.1,Heavy Rainfall,January
2024-02-01,0.0,34.1,60.9,Dry,February
2024-02-02,7.9,33.7,60.2,Light Rain,February
2024-02-03,0.0,25.7,69.1,Dry,February
2024-02-04,0.0,31.4,87.9,Dry,February
2024-02-05,2.7,34.4,74.9,Light Rain,February
2024-02-06,3.5,32.4,84.2,Light Rain,February
2024-02-07,23.7,34.5,64.9,Heavy Rainfall,February
2024-02-08,0.0,28.1,66.4,Dry,February
2024-02-09,12.5,29.9,86.7,Heavy Rainfall,February
2024-02-10,0.0,28.7,80.5,Dry,February
2024-02-11,24.0,24.4,60.2,Heavy Rainfall,February
2024-02-12,0.7,34.1,73.2,Light Rain,February
2024-02-13,6.6,31.6,60.1,Light Rain,February
2024-02-14,18.6,33.9,83.3,Heavy Rainfall,February
2024-02-15,0.1,34.1,62.7,Light Rain,February
2024-02-16,17.5,28.5,66.2,Heavy Rainfall,February
2024-02-17,16.6,32.8,71.4,Heavy Rainfall,February
2024-02-18,25.5,34.2,74.5,Heavy Rainfall,February
2024-02-19,16.9,28.7,84.4,Heavy Rainfall,February
2024-02-20,7.6,26.2,88.1,Light Rain,February
2024-02-21,3.9,29.4,75.3,Light Rain,February
